ID in GmHapMap dataset	PI_# & Name	Origin	Depth of Coverage (x)
Gm_H390	PI_417391 	Japan	21
Gm_H391	PI_417511 	France	21
Gm_H392	PI_423719 	Poland	20
Gm_H393	PI_423869 	Japan	22
Gm_H394	PI_423949 	Japan	22
Gm_H395	PI_427105_B 	China	18
Gm_H396	PI_427106 	China	23
Gm_H397	PI_437161 	Russia	23
Gm_H398	PI_437313 	Russia	20
Gm_H399	PI_437532 	Ukraine	21
Gm_H400	PI_438352 	Bulgaria	23
Gm_H401	PI_438364 	Canada	31
Gm_H402	PI_438393 	Germany	21
Gm_H403	PI_438433 	Italy	24
Gm_H404	PI_438460 	Romania	18
Gm_H405	PI_438481 	Sweden	35
Gm_H406	PI_438483 	Sweden	14
Gm_H407	PI_442031 	Russia	21
Gm_H408	PI_445791 	Germany	21
Gm_H409	PI_449458_A 	China	21
Gm_H410	PI_449459 	China	20
Gm_H411	PI_464910 	China	25
Gm_H412	PI_468377 	China	16
Gm_H413	PI_468903 	China	23
Gm_H414	PI_470929 	Sweden	21
Gm_H415	PI_479762 	China	24
Gm_H416	PI_494182 	Japan	22
Gm_H417	PI_504484 	Taiwan	27
Gm_H418	PI_507422 	Japan	21
Gm_H419	PI_507522 	Japan	20
Gm_H420	PI_532445 	China	17
Gm_H421	PI_532467 	Japan	18
Gm_H422	PI_548515 	Canada	19
Gm_H423	PI_548535 	U.S.A.	22
Gm_H424	PI_548539 	Canada	19
Gm_H425	PI_548607 	Canada	25
Gm_H426	PI_548628 	U.S.A.	16
Gm_H427	PI_561282_A 	Russia	23
Gm_H428	PI_567218 	Russia	21
Gm_H429	PI_567609 	China	24
Gm_H430	PI_567787 	Canada	22
Gm_H431	PI_572243 	Canada	27
Gm_H432	PI_593970 	Japan	21
Gm_H433	PI_594527 	China	20
Gm_H434	PI_603148 	North Korea	17
Gm_H435	Qing_05-1028 	China	18
Gm_H436	Qing_07-1115 	China	19
Gm_H437	Qing_07-1133 	China	22
Gm_H438	Qing_07-1187 	China	19
Gm_H439	Qing_09-1600 	China	23
Gm_H440	Qing_09-18861 	China	21
Gm_H441	S03-W4 	Canada	24
Gm_H442	S19-90 	Canada	22
Gm_H443	Shuinong_15 	China	27
Gm_H444	TMG_103_RR 	Brazil	21
Gm_H445	TMG_132_RR 	Brazil	20
Gm_H446	TMG_4182 	Brazil	16
Gm_H447	TMG_7262_RR 	Brazil	14
Gm_H448	Tracy-M 	Brazil	18
Gm_H449	CAD-PI001	China	4
Gm_H450	CAD-PI002	China	5
Gm_H451	CAD-PI003	China	3
Gm_H452	Zaofeng_918 	China	19
Gm_H453	PI_339734	Korea	8
Gm_H454	Xiao Bai Dou	China	9
Gm_H455	PI_594615	China	13
Gm_H456	Yu Shi Dou	China	12
Gm_H457	PI_548445	China	13
Gm_H458	You PI_Zhi Hei Dou	China	8
Gm_H459	PI_196166	Korea	12
Gm_H460	PI_467343	China	10
Gm_H461	Dong Shan Bai Ma Dou	China	17
Gm_H462	PI_567525	China	21
Gm_H463	Sha Xin Dou	China	10
Gm_H464	Long quan Da Dou	China	10
Gm_H465	PI_603384	China	11
Gm_H466	Qing Dou	China	11
Gm_H467	Nan Guan Xiao PI_Qing	China	10
Gm_H468	PI_416971	Japan	11
Gm_H469	PI_594777	China	11
Gm_H470	PI_548342	Japan	11
Gm_H471	PI_548485	China	11
Gm_H472	Xia Hei Dou	China	13
Gm_H473	PI_Xian Da Zi Huo Cao	China	11
Gm_H474	PI_507355	Japan	13
Gm_H475	PI_587552	China	14
Gm_H476	Yu Jiang Wu Yue Niu Mao Huang	China	11
Gm_H477	Da Li Huang	China	8
Gm_H478	PI_603336	China	29
Gm_H479	PI_437321	Russia	11
Gm_H480	PI_603596	China	10
Gm_H481	Tian E Dan	China	22
Gm_H482	PI_602991	China	12
Gm_H483	PI_548402	China	10
Gm_H484	PI_407801	Korea	10
Gm_H485	PI_Xian Nian Zhuang Liu Yue Xian	China	13
Gm_H486	Yi Zheng Da Li Huang Dou	China	9
Gm_H487	PI_398296	Korea	20
Gm_H488	Da Qing Ren	China	26
Gm_H489	PI_603420	China	8
Gm_H490	Hu PI_Dou	China	19
Gm_H491	Xiang Dou No.4	China	12
Gm_H492	PI_437654	China	25
Gm_H493	PI_603675	China	15
Gm_H494	Da Tun Xiao Hei Dou	China	11
Gm_H495	PI_437679	China	13
Gm_H496	PI_548417	Italy	18
Gm_H497	PI_80837	Japan	18
Gm_H498	PI_594788	China	11
Gm_H499	PI_594301	Japan	12
Gm_H500	PI_578457A	Vietnam	18
Gm_H501	Tai Xin Niu Mao Huang Yi	China	8
Gm_H502	Xia Men Teng Zai Dou	China	15
Gm_H503	PI_603756	China	13
Gm_H504	PI_80822	China	13
Gm_H505	PI_438498	U.S.A.	10
Gm_H506	PI_548391	China	11
Gm_H507	PI_548379	China	10
Gm_H508	PI_153262	Belgium	14
Gm_H509	PI_567298	China	7
Gm_H510	PI_603318	China	12
Gm_H511	PI_437653	China	20
Gm_H512	Tong an Zi Hong Dou	China	7
Gm_H513	PI_88479	China	15
Gm_H514	Hong Zhu Dou	China	11
Gm_H515	Jin Shan Cha Zhu Shi Dou	China	15
Gm_H516	He Dou	China	15
Gm_H517	PI_567189A	Vietnam	13
Gm_H518	PI_548406	China	7
Gm_H519	PI_84631	Korea	15
Gm_H520	Xiao Bai Qi	China	5
Gm_H521	PI_323576	India	10
Gm_H522	PI_548382	China	11
Gm_H523	PI_416890	Japan	6
Gm_H524	PI_587752	China	13
Gm_H525	PI_424391	Korea	11
Gm_H526	Pei Xian Xiao You Dou	China	12
Gm_H527	PI_603357	China	20
Gm_H528	Hong Hu Liu Yue Bao	China	13
Gm_H529	PI_437944	China	26
Gm_H530	Sha Xian Qin Dou	China	14
Gm_H531	PI_157421	Korea	16
Gm_H532	Ji Shan De Da Li Hei Dou	China	16
Gm_H533	Bai Mao Dou	China	12
Gm_H534	PI_567364	China	16
Gm_H535	PI_84987	Japan	10
Gm_H536	PI_548298	China	16
Gm_H537	PI_423967	Japan	12
Gm_H538	PI_548488	China	15
Gm_H539	Guang Rao Da Qing Dou	China	15
Gm_H540	PI_423954	Japan	19
Gm_H541	PI_587848	China	10
Gm_H542	PI_587666	China	6
Gm_H543	Ni Dou	China	15
Gm_H544	Sha Xian Wu Dou	China	13
Gm_H545	PI_399043	Korea	10
Gm_H546	Ni Ding Hua Mei Dou	China	13
Gm_H547	PI_84987A	Japan	4
Gm_H548	PI_567395	China	10
Gm_H549	PI_317334A	Japan	11
Gm_H550	Xiao Huang Dou	China	11
Gm_H551	PI_548456	Korea	10
Gm_H552	PI_603424A	China	12
Gm_H553	PI_588053A	China	11
Gm_H554	PI_594629	China	12
Gm_H555	Bin Hai Da huang Ke Zi Jia	China	13
Gm_H556	PI_83945-3	Korea	18
Gm_H557	Jin Huang No.35	China	15
Gm_H558	PI_567258	China	10
Gm_H559	PI_404182	China	10
Gm_H560	Nian Shi Huang Dou	China	12
Gm_H561	PI_86024	Japan	10
Gm_H562	PI_567503	China	8
Gm_H563	PI_317336	Japan	11
Gm_H564	Xiao Mi Dou	China	12
Gm_H565	PI_594579	China	8
Gm_H566	Xin Xian Xiao Huang Dou	China	14
Gm_H567	PI_253658B	China	9
Gm_H568	PI_603516	China	12
Gm_H569	PI_567071A	Indonesia	10
Gm_H570	Dai Mi Dou	China	10
Gm_H571	PI_567293	China	11
Gm_H572	PI_407849	Korea	12
Gm_H573	PI_548348	China	10
Gm_H574	PI_407716	China	12
Gm_H575	PI_89138	Korea	20
Gm_H576	Cu Dou	China	11
Gm_H577	PI_417398	China	10
Gm_H578	Hei He Xiao Huang Dou	China	11
Gm_H579	PI_594451	China	9
Gm_H580	PI_243541	Japan	11
Gm_H581	Hei Wa Shi Dou	China	9
Gm_H582	Bai Lu Dou	China	17
Gm_H583	PI_548657	China	16
Gm_H584	PI_548362	China	11
Gm_H585	Jin Da No.70	China	12
Gm_H586	PI_591432	China	12
Gm_H587	PI_591495	China	13
Gm_H588	Jiu Nong No.30	China	12
Gm_H589	Liao Dou No.15	China	11
Gm_H590	PI_548634	China	12
Gm_H591	Jin Da No.62	China	11
Gm_H592	PI_547459	China	10
Gm_H593	Su Nong No.25	China	11
Gm_H594	PI_547409	China	12
Gm_H595	PI_553047	China	14
Gm_H596	PI_547562	China	14
Gm_H597	He Dou No.13	China	9
Gm_H598	Zhong Huang No.14	China	14
Gm_H599	PI_591433	China	9
Gm_H600	Gui Chun No.8	China	13
Gm_H601	PI_533655	China	10
Gm_H602	Dong Nong No.26	China	10
Gm_H603	Jin Da No.75	China	27
Gm_H604	PI_548638	China	11
Gm_H605	PI_547460	China	10
Gm_H606	Shen Li No.3	China	10
Gm_H607	Jin Da No.26	China	12
Gm_H608	PI_518750	China	5
Gm_H609	Chang Nong No.13	China	10
Gm_H610	PI_548540	China	13
Gm_H611	Liao Dou No.17	China	12
Gm_H612	PI_540552	China	16
Gm_H613	PI_547686	China	13
Gm_H614	PI_548644	China	25
Gm_H615	PI_547488	China	8
Gm_H616	He Feng No.25	China	6
Gm_H617	PI_548311	China	11
Gm_H618	PI_518664	China	12
Gm_H619	Jin Da No.73	China	12
Gm_H620	PI_591435	China	13
Gm_H621	Zhong Huang No.50	China	8
Gm_H622	Nan Nong Cai Dou No.1	China	11
Gm_H623	PI_548512	China	17
Gm_H624	PI_547690	China	11
Gm_H625	PI_548182	China	14
Gm_H626	PI_515961	China	10
Gm_H627	PI_548190	China	5
Gm_H628	PI_548643	Canada	12
Gm_H629	Zhong Huang No.38	China	11
Gm_H630	Beijing-IGDB-1	China	11
Gm_H631	Zhong Huang No.13	China	19
Gm_H632	Chang Nong No.16	China	9
Gm_H633	PI_548520	China	12
Gm_H634	PI_548631	China	11
Gm_H635	PI_547779	China	11
Gm_H636	Hei Nong No.51	China	15
Gm_H637	Lu Dou No.11	China	12
Gm_H638	Tai Wan No.1	China	14
Gm_H639	Ji Yu No.90	China	13
Gm_H640	Fen Dou No.65	China	4
Gm_H641	PI_548565	China	12
Gm_H642	Fen Dou No.78	China	22
Gm_H643	PI_548603	China	7
Gm_H644	PI_508266	U.S.A.	11
Gm_H645	Sheng Dou No.9	China	11
Gm_H646	Zhong Huang No.40	China	10
Gm_H647	PI_547716	China	10
Gm_H648	PI_546044	China	14
Gm_H649	Zhong Huang No.35	China	18
Gm_H650	Harbin 91-6065	China	14
Gm_H651	Chang Nong No.15	China	10
Gm_H652	Jilin 21	China	10
Gm_H653	Liao Dou No.21	China	12
Gm_H654	PI_548573	China	12
Gm_H655	Fen Dou No.85	China	16
Gm_H656	PI_548604	China	21
Gm_H657	Hei He No.1	China	11
Gm_H658	PI_533602	China	9
Gm_H659	Xi Zang Da Dou No.20	China	12
