glyma.Wm82.gnm4.scaff_568	scaffold_568
glyma.Wm82.gnm4.scaff_570	scaffold_570
glyma.Wm82.gnm4.scaff_576	scaffold_576
glyma.Wm82.gnm4.scaff_578	scaffold_578
glyma.Wm82.gnm4.scaff_579	scaffold_579
glyma.Wm82.gnm4.scaff_661	Gm16_scaffold_661
glyma.Wm82.gnm4.scaff_738	Gm14_scaffold_738
glyma.Wm82.gnm4.scaff_765	Gm19_scaffold_765
glyma.Wm82.gnm4.scaff_926	Gm03_scaffold_926
glyma.Wm82.gnm4.scaff_952	Gm08_scaffold_952
glyma.Wm82.gnm4.scaff_1052	Gm10_scaffold_1052
glyma.Wm82.gnm4.scaff_1357	Gm16_scaffold_1357
glyma.Wm82.gnm4.scaff_1369	Gm10_scaffold_1369
glyma.Wm82.gnm4.scaff_1377	Gm19_scaffold_1377
glyma.Wm82.gnm4.scaff_1386	Gm13_scaffold_1386
glyma.Wm82.gnm4.scaff_1454	Gm06_scaffold_1454
